"GID","SYMBOL","GENENAME"
106901763,"CRLS1","cardiolipin synthase 1"
106884555,"CRMP1","collapsin response mediator protein 1"
106900408,"CRNKL1","crooked neck pre-mRNA splicing factor 1"
106893694,"CROCC","ciliary rootlet coiled-coil, rootletin"
106894345,"CROT","carnitine O-octanoyltransferase"
106885597,"CRPPA","CDP-L-ribitol pyrophosphorylase A"
106897547,"CRTAC1","cartilage acidic protein 1"
106886760,"CRTAM","cytotoxic and regulatory T cell molecule"
106887758,"CRTAP","cartilage associated protein"
106885710,"CRTC1","CREB regulated transcription coactivator 1"
106901338,"CRY1","cryptochrome circadian regulator 1"
106892811,"CRY2","cryptochrome circadian regulator 2"
106885680,"CRYAA","crystallin alpha A"
106892370,"CRYAB","crystallin alpha B"
106894444,"CRYBA1","crystallin beta A1"
106895112,"CRYBA2","crystallin beta A2"
106889617,"CRYBA4","crystallin beta A4"
106889616,"CRYBB2","crystallin beta B2"
106889613,"CRYBB3","crystallin beta B3"
106901718,"CRYBG1","crystallin beta-gamma domain containing 1"
106891831,"CRYBG2","crystallin beta-gamma domain containing 2"
106891050,"CRYBG3","crystallin beta-gamma domain containing 3"
106889729,"CRYGN","crystallin gamma N"
106886616,"CRYGS","crystallin gamma S"
106902600,"CRYL1","crystallin lambda 1"
106884672,"CRYM","crystallin mu"
106885499,"CRYZ","crystallin zeta"
106885761,"CRYZL1","crystallin zeta like 1"
106897314,"CS","citrate synthase"
106901523,"CSDC2","cold shock domain containing C2"
106891767,"CSDE1","cold shock domain containing E1"
106889108,"CSE1L","chromosome segregation 1 like"
106894294,"CSF1","colony stimulating factor 1"
106891577,"CSF1R","colony stimulating factor 1 receptor"
106897342,"CSF3","colony stimulating factor 3"
106890639,"CSF3R","colony stimulating factor 3 receptor"
106898220,"CSGALNACT1","chondroitin sulfate N-acetylgalactosaminyltransferase 1"
106887150,"CSGALNACT2","chondroitin sulfate N-acetylgalactosaminyltransferase 2"
106899239,"CSK","C-terminal Src kinase"
106892076,"CSMD1","CUB and Sushi multiple domains 1"
106902242,"CSMD3","CUB and Sushi multiple domains 3"
106891425,"CSNK1A1","casein kinase 1 alpha 1"
106893738,"CSNK1D","casein kinase 1 delta"
106899716,"CSNK1G1","casein kinase 1 gamma 1"
106897380,"CSNK1G2","casein kinase 1 gamma 2"
106894646,"CSNK1G3","casein kinase 1 gamma 3"
106896483,"CSNK2A1","casein kinase 2 alpha 1"
106891839,"CSNK2A2","casein kinase 2 alpha 2"
106889362,"CSPG4","chondroitin sulfate proteoglycan 4"
106896025,"CSPG5","chondroitin sulfate proteoglycan 5"
106886594,"CSPP1","centrosome and spindle pole associated protein 1"
106889768,"CSRNP1","cysteine and serine rich nuclear protein 1"
106895997,"CSRNP2","cysteine and serine rich nuclear protein 2"
106895132,"CSRNP3","cysteine and serine rich nuclear protein 3"
106890444,"CSRP1","cysteine and glycine rich protein 1"
106901300,"CSRP2","cysteine and glycine rich protein 2"
106893556,"CSRP3","cysteine and glycine rich protein 3"
106900380,"CST7","cystatin F"
106889073,"CSTF1","cleavage stimulation factor subunit 1"
106895712,"CSTF2","cleavage stimulation factor subunit 2"
106892230,"CSTF3","cleavage stimulation factor subunit 3"
106892770,"CSTPP1","centriolar satellite-associated tubulin polyglutamylase complex regulator 1"
106902939,"CTBP1","C-terminal binding protein 1"
106889872,"CTBP2","C-terminal binding protein 2"
106886388,"CTBS","chitobiase"
106896915,"CTC1","CST telomere replication complex component 1"
106891040,"CTCF","CCCTC-binding factor"
106887489,"CTDP1","CTD phosphatase subunit 1"
106895031,"CTDSP1","CTD small phosphatase 1"
106889696,"CTDSPL","CTD small phosphatase like"
106894223,"CTDSPL2","CTD small phosphatase like 2"
106885152,"CTH","cystathionine gamma-lyase"
106902232,"CTHRC1","collagen triple helix repeat containing 1"
106899130,"CTIF","cap binding complex dependent translation initiation factor"
106895118,"CTLA4","cytotoxic T-lymphocyte associated protein 4"
106896070,"CTNNA1","catenin alpha 1"
106902946,"CTNNA2","catenin alpha 2"
106887085,"CTNNA3","catenin alpha 3"
106885915,"CTNNAL1","catenin alpha like 1"
106897434,"CTNNB1","catenin beta 1"
106887706,"CTNNBIP1","catenin beta interacting protein 1"
106889106,"CTNNBL1","catenin beta like 1"
106887222,"CTNND1","catenin delta 1"
106887308,"CTNND2","catenin delta 2"
106894512,"CTNS","cystinosin, lysosomal cystine transporter"
106892183,"CTPS1","CTP synthase 1"
106898811,"CTPS2","CTP synthase 2"
106902950,"CTR9","CTR9 homolog, Paf1/RNA polymerase II complex component"
106887682,"CTRC","chymotrypsin C"
106891323,"CTRL","chymotrypsin like"
106889114,"CTSA","cathepsin A"
106891681,"CTSB","cathepsin B"
106897601,"CTSC","cathepsin C"
106898649,"CTSD","cathepsin D"
106895801,"CTSE","cathepsin E"
106894167,"CTSH","cathepsin H"
106900648,"CTSK","cathepsin K"
106885002,"CTSL","cathepsin L"
106889655,"CTSO","cathepsin O"
106898376,"CTSS","cathepsin S"
106895887,"CTSZ","cathepsin Z"
106891997,"CTTN","cortactin"
106901363,"CTTNBP2","cortactin binding protein 2"
106891791,"CTTNBP2NL","CTTNBP2 N-terminal like"
106893650,"CTU1","cytosolic thiouridylase subunit 1"
106888321,"CTU2","cytosolic thiouridylase subunit 2"
106892443,"CTXN1","cortexin 1"
106889561,"CTXN2","cortexin 2"
106895388,"CTXN3","cortexin 3"
106890226,"CUBN","cubilin"
106899713,"CUEDC1","CUE domain containing 1"
106896373,"CUEDC2","CUE domain containing 2"
106890880,"CUL1","cullin 1"
106889737,"CUL2","cullin 2"
106899018,"CUL3","cullin 3"
106889291,"CUL4A","cullin 4A"
106895656,"CUL4B","cullin 4B"
106902489,"CUL5","cullin 5"
106897564,"CUNH11orf97","chromosome unknown C11orf97 homolog"
106902792,"CUNH14orf39","chromosome unknown C14orf39 homolog"
106898439,"CUNH15orf39","chromosome unknown C15orf39 homolog"
106890115,"CUNH1orf109","chromosome unknown C1orf109 homolog"
106886435,"CUNH1orf146","chromosome unknown C1orf146 homolog"
106887666,"CUNH1orf167","chromosome unknown C1orf167 homolog"
106894003,"CUNH1orf174","chromosome unknown C1orf174 homolog"
106899474,"CUNH1orf43","chromosome unknown C1orf43 homolog"
106889195,"CUNH22orf15","chromosome unknown C22orf15 homolog"
106895331,"CUNH2orf69","chromosome unknown C2orf69 homolog"
106886633,"CUNH3orf70","chromosome unknown C3orf70 homolog"
106884527,"CUNH4orf48","chromosome unknown C4orf48 homolog"
106896221,"CUNH8orf48","chromosome unknown C8orf48 homolog"
106902122,"CUNH8orf88","chromosome unknown C8orf88 homolog"
106888527,"CUTA","cutA divalent cation tolerance homolog"
106898715,"CUTC","cutC copper transporter"
106894398,"CUX1","cut like homeobox 1"
106901772,"CUX2","cut like homeobox 2"
106902593,"CWC15","CWC15 spliceosome associated protein homolog"
106895347,"CWC22","CWC22 spliceosome associated protein homolog"
106897915,"CWC25","CWC25 spliceosome associated protein homolog"
106901909,"CWC27","CWC27 spliceosome associated cyclophilin"
106902828,"CWF19L1","CWF19 like cell cycle control factor 1"
106902375,"CWF19L2","CWF19 like cell cycle control factor 2"
106890000,"CWH43","cell wall biogenesis 43 C-terminal homolog"
106885725,"CXADR","CXADR Ig-like cell adhesion molecule"
106896131,"CXCL12","C-X-C motif chemokine ligand 12"
106891454,"CXCL14","C-X-C motif chemokine ligand 14"
106887547,"CXCR4","C-X-C motif chemokine receptor 4"
106892392,"CXCR5","C-X-C motif chemokine receptor 5"
106896749,"CXCR6","C-X-C motif chemokine receptor 6"
106898436,"CXXC5","CXXC finger protein 5"
106898831,"CYFIP1","cytoplasmic FMR1 interacting protein 1"
106891479,"CYFIP2","cytoplasmic FMR1 interacting protein 2"
106892904,"CYGB","cytoglobin"
106888148,"CYLD","CYLD lysine 63 deubiquitinase"
106901124,"CYREN","cell cycle regulator of NHEJ"
106896688,"CYRIA","CYFIP related Rac1 interactor A"
106902185,"CYRIB","CYFIP related Rac1 interactor B"
106895518,"CYSLTR1","cysteinyl leukotriene receptor 1"
106902410,"CYSLTR2","cysteinyl leukotriene receptor 2"
106892503,"CYSRT1","cysteine rich tail 1"
106898433,"CYSTM1","cysteine rich transmembrane module containing 1"
54124873,"CYTB","cytochrome b"
106894745,"CYTH1","cytohesin 1"
106893441,"CYTH3","cytohesin 3"
106901089,"CYTH4","cytohesin 4"
106902752,"CYTIP","cytohesin 1 interacting protein"
106902918,"CYTL1","cytokine like 1"
106885663,"CYYR1","cysteine and tyrosine rich 1"
106886418,"CZIB","CXXC motif containing zinc binding protein"
106900838,"D2HGDH","D-2-hydroxyglutarate dehydrogenase"
106902812,"DAAM1","dishevelled associated activator of morphogenesis 1"
106893191,"DAAM2","dishevelled associated activator of morphogenesis 2"
106886452,"DAB1","DAB adaptor protein 1"
106891197,"DAB2","DAB adaptor protein 2"
106888578,"DAB2IP","DAB2 interacting protein"
106902325,"DACH1","dachshund family transcription factor 1"
106895636,"DACH2","dachshund family transcription factor 2"
106898643,"DACT1","dishevelled binding antagonist of beta catenin 1"
